Date,Volume
2018-06-19,752631924.424052
2018-06-22,748390397.158758
2018-06-25,716322317.404389
2018-06-28,723379517.865673
2018-07-01,698516138.669725
2018-07-04,723115838.662634
2018-07-07,716949649.575045
2018-07-10,697989261.549764
2018-07-13,689585991.314807
2018-07-16,645431661.518108
2018-07-19,684599634.266546
2018-07-22,693029289.369061
2018-07-25,712607249.579012
2018-07-28,734259111.590755
2018-07-31,741347674.339341
2018-08-03,743385074.410158
2018-08-06,731732696.189174
2018-08-09,751858228.326134
2018-08-12,751080948.704705
2018-08-15,779941489.516269
2018-08-18,769753817.974643
2018-08-21,735076788.47284
2018-08-24,744882078.527096
2018-08-27,705939063.971761
2018-08-30,723465622.236231
2018-09-02,707795819.780897
2018-09-05,715791438.851827
2018-09-08,735467813.422674
2018-09-11,713348648.555974
2018-09-14,727416757.401449
2018-09-17,695295118.845888
2018-09-20,715120559.68084
2018-09-23,693485632.963472
2018-09-26,698197762.863852
2018-09-29,693294510.962274
2018-10-02,672442782.935713
2018-10-05,679654893.590018
2018-10-08,629412537.34131
2018-10-11,647542211.434624
2018-10-14,627279735.405498
2018-10-17,670215500.153756
2018-10-20,688138906.342276
2018-10-23,674086750.229698
2018-10-26,694481048.477409
2018-10-29,664257553.384983
2018-11-01,689418467.571833
2018-11-04,683035772.69181
2018-11-06,708349253.169038
2018-11-09,720991502.509221
2018-11-12,703330409.754281
2018-11-15,769007414.296644
2018-11-18,752295417.595259
2018-11-21,812124031.747902
2018-11-24,795072224.869287
2018-11-27,815695003.452055
2018-11-30,849391318.48995
2018-12-03,857207364.925263
2018-12-06,966397881.741266
2018-12-09,930887695.015232
2018-12-12,940368215.096823
2018-12-15,832205001.185029
2018-12-18,820416005.696215
2018-12-21,787846715.337598
2018-12-24,773783291.437375
2018-12-27,746936260.389834
2018-12-30,679561275.953964
2019-01-02,643322263.34962
2019-01-05,514839259.795889
2019-01-08,518637161.840922
2019-01-11,537795359.098172
2019-01-14,527132735.374082
2019-01-17,554613264.408571
2019-01-20,503637620.577372
2019-01-23,510599430.482641
2019-01-26,504946305.42848
2019-01-29,505252576.957169
2019-02-01,529675535.408444
2019-02-04,512585289.155815
2019-02-07,508354765.005559
2019-02-10,466251860.211582
2019-02-13,486055365.617519
2019-02-16,449662890.543061
2019-02-19,471270829.998795
2019-02-22,483311044.017525
2019-02-25,499550612.421094
2019-02-28,525465478.059188
2019-03-03,502625490.291282
2019-03-06,526817408.821987
2019-03-09,532440812.125927
2019-03-13,545398963.850122
2019-03-16,552308329.461944
2019-03-19,549069656.610243
2019-03-22,557830748.32222
2019-03-25,530613682.718541
2019-03-28,534297255.214325
2019-03-31,524013996.435404
2019-04-03,566771561.838465
2019-04-06,614452458.347896
2019-04-09,624345320.483992
2019-04-12,666776299.892589
2019-04-15,659251870.769656
2019-04-18,697169629.881922
2019-04-21,692174872.853661
2019-04-24,718641212.434345
2019-04-27,777791963.007137
2019-04-30,776502961.18027
2019-05-03,775186926.318426
2019-05-06,731984189.117477
2019-05-09,764824727.409685
2019-05-12,786462486.178845
2019-05-15,877492425.794674
2019-05-18,952231313.661951
2019-05-21,980020486.716964
2019-05-24,1026432350.23785
2019-05-27,996185485.013171
2019-05-30,1121364654.35382
2019-06-02,1185229552.22238
2019-06-05,1267420338.22351
2019-06-08,1362292099.87764
2019-06-11,1314432320.27164
2019-06-14,1297647488.81664
2019-06-17,1250115419.05334
2019-06-20,1398406101.40673
2019-06-23,1452540470.759
2019-06-26,1521840916.27555
2019-06-29,1607330116.74836
2019-07-02,1615690851.34939
2019-07-05,1652523395.68718
2019-07-08,1542344414.10939
2019-07-11,1710526494.35108
2019-07-14,1720237368.92209
2019-07-17,1737257648.90595
2019-07-20,1682161554.96637
2019-07-23,1602213008.75329
2019-07-26,1553527555.05942
2019-07-29,1349680997.61695
2019-08-01,1408951193.94139
2019-08-04,1325902596.84502
2019-08-07,1386232020.70421
2019-08-10,1297042751.57111
2019-08-13,1246349522.61119
2019-08-16,1275862944.35068
2019-08-19,1213797700.92657
2019-08-22,1239868422.84247
2019-08-25,1252007882.06572
2019-08-28,1292805664.89613
2019-08-31,1213568481.11836
2019-09-03,1192896841.0156
2019-09-06,1204868151.33886
2019-09-09,1207523953.79304
2019-09-12,1272780270.19999
2019-09-15,1230481154.03829
2019-09-18,1226273401.20446
2019-09-21,1279244024.89903
2019-09-24,1246927494.88428
2019-09-27,1358809050.71531
2019-09-30,1297181725.7111
2019-10-03,1317510341.68574
2019-10-06,1234295917.30547
2019-10-09,1161166362.99261
2019-10-12,1109270044.67343
2019-10-15,1083167234.36584
2019-10-18,1074440807.6921
2019-10-21,969732662.444941
2019-10-24,987659774.45673
2019-10-27,888823215.147614
2019-10-30,940880468.290615
2019-11-02,998141192.933533
2019-11-04,1025197602.5168
2019-11-07,1137809647.72544
2019-11-10,1131242584.9654
2019-11-13,1150054722.55518
2019-11-16,1132333894.20798
2019-11-19,1150183830.21661
2019-11-22,1166376733.14739
2019-11-25,1147500202.63793
2019-11-28,1137534698.14678
2019-12-01,1057655750.52348
2019-12-04,1077970451.14054
2019-12-07,987360628.966265
2019-12-10,974915355.818652
2019-12-13,976929497.854851
2019-12-16,945595136.2732
2019-12-19,1019896205.68461
2019-12-22,965118305.146458
2019-12-25,957463365.426287
2019-12-28,912426357.290409
2019-12-31,912666627.060572
2020-01-03,886654942.909003
